set,om,biol,code,CMP,median_C,median_IACC,median_SBMSY,q25_C,q25_IACC,q25_SBMSY,q75_C,q75_IACC,q75_SBMSY
robustness,h2_0.16_mov,Southern,tun46,PRsym,901.410848190276,10.2207797080024,1.20997491986254,775.836353643248,8.27209926763953,1.1519293932273,1063.94250135647,11.6679965406865,1.27139650285551
robustness,h2_0.16_mov,Southern,tun47,HS-30,958.227536825069,4.87297262186599,0.950132307513078,850.297770647359,4.14567943886392,0.87780650945863,1091.0021856103,5.86937106816139,1.02962569970816
robustness,h2_0.16_mov,Southern,tun48,PR-30,932.402311103104,11.4872402807712,1.20545284261111,838.103925553054,9.15416269524503,1.14705844606976,1068.10564765585,13.4124944181905,1.26163515635919
robustness,h2_0.16h,North,tun29,HS+20,217.095014704726,11.0988775881696,0.543598650165591,190.976896122968,9.2756793458013,0.433154211698686,241.786989024399,12.9475566152943,0.637139113038969
robustness,h2_0.16h,North,tun32,PR+20,202.176596848411,14.5749948542317,0.57436795533841,171.904522757506,12.4195840090134,0.468036622685544,230.739575595422,16.8397179516166,0.673142446262344
robustness,h2_0.16h,North,tun43,HS-20,218.904464075658,11.0611363960462,0.532121315151046,192.052079853049,9.26934286653472,0.427028440890803,243.885591229057,13.0370746829605,0.633270494383854
robustness,h2_0.16h,North,tun44,PR-20,201.424996843827,14.5873503772117,0.574500438927772,170.378274248405,12.6053762593238,0.461966181379237,232.750798055837,16.7872422574276,0.673160904857188
robustness,h2_0.16h,North,tun45,HSsym,217.598423415605,11.0864732079091,0.537632454244315,191.157570431099,9.27167103816273,0.431553016963115,242.589655543571,13.0110362990458,0.634829287962533
robustness,h2_0.16h,North,tun46,PRsym,199.889911434082,13.9783360957734,0.570943020043304,167.003167556735,12.1110501509549,0.464226444685561,228.71643076784,15.7924261648703,0.670581631872211
robustness,h2_0.16h,North,tun47,HS-30,218.135212862945,11.120717674893,0.534699786038467,192.037889646555,9.2834333591443,0.430100502466378,243.651533410558,13.0134983913081,0.633774942865116
robustness,h2_0.16h,North,tun48,PR-30,209.535457948232,15.522242113685,0.572804548059996,183.544641302422,13.2138930360121,0.46215059660584,236.666492127474,18.0027577517184,0.674087876329531
robustness,h2_0.16h,Southern,tun29,HS+20,947.468969549607,4.98358870037176,1.44993103057733,843.25500051784,4.04013121917307,1.32526963681509,1051.82824000505,5.86967841580823,1.63838138532701
robustness,h2_0.16h,Southern,tun32,PR+20,889.256974620731,11.304612482288,1.72607463435341,750.661248356301,9.2820248738973,1.60121397699585,1009.75497968615,12.9621191404,1.90343723628049
robustness,h2_0.16h,Southern,tun43,HS-20,956.793873521824,5.04819940843489,1.37146242022607,851.71058546388,4.07576071136077,1.2542015538497,1061.44322065407,5.93075107090669,1.54987700512413
robustness,h2_0.16h,Southern,tun44,PR-20,885.098779367618,11.254557448176,1.73492560569627,748.802012403644,9.14772075802682,1.59936062656253,1002.50897495242,12.9883660279348,1.9006959881613
robustness,h2_0.16h,Southern,tun45,HSsym,950.235859214284,4.9943350306516,1.42390691695008,845.213791058385,4.03431831561054,1.30307334652956,1054.56161226848,5.8846522577581,1.60933089263632
robustness,h2_0.16h,Southern,tun46,PRsym,869.609773673894,10.6879015170561,1.7285623270572,740.679560697367,8.97854875080099,1.59482651948743,1000.93468155661,12.2575061299449,1.89429897995161
robustness,h2_0.16h,Southern,tun47,HS-30,953.84444928286,5.03034684837988,1.39779499297117,849.08064183378,4.03802542585037,1.27926266340474,1058.642550059,5.93205810453332,1.58273533439126
robustness,h2_0.16h,Southern,tun48,PR-30,917.053086504692,12.0259505278132,1.70611024612355,802.460227094771,9.81756848307168,1.5826214114211,1028.15804180062,14.1684583347232,1.89304838277324
robustness,h2_1.14,North,tun29,HS+20,1.51866566666013e-05,6.50829390380636e-11,0,1.51866566665787e-05,4.52640702697238e-11,0,1.51866566666173e-05,9.28815357958968e-11,0
robustness,h2_1.14,North,tun32,PR+20,1.51866566666029e-05,6.85385082022094e-11,0,1.51866566665799e-05,4.68469707470831e-11,0,1.51866566666202e-05,1.03318742450398e-10,0
robustness,h2_1.14,North,tun43,HS-20,1.51866566666004e-05,6.48481268683554e-11,0,1.51866566665779e-05,4.51180759419856e-11,0,1.51866566666167e-05,9.16897113789616e-11,0
robustness,h2_1.14,North,tun44,PR-20,1.51866566666035e-05,6.91458001966794e-11,0,1.51866566665802e-05,4.71597760842712e-11,0,1.51866566666205e-05,1.06120945364552e-10,0
robustness,h2_1.14,North,tun45,HSsym,1.51866566666006e-05,6.48481268683554e-11,0,1.51866566665779e-05,4.51180759419856e-11,0,1.51866566666169e-05,9.19853082592681e-11,0
robustness,h2_1.14,North,tun46,PRsym,1.51866566666032e-05,6.91458001966794e-11,0,1.518665666658e-05,4.75405825817177e-11,0,1.51866566666205e-05,1.04813380197299e-10,0
robustness,h2_1.14,North,tun47,HS-30,1.51866566666004e-05,6.48481268683554e-11,0,1.51866566665779e-05,4.51180759419856e-11,0,1.51866566666167e-05,9.19853082592681e-11,0
robustness,h2_1.14,North,tun48,PR-30,1.5186656666603e-05,6.85385082022094e-11,0,1.51866566665799e-05,4.68469707470831e-11,0,1.51866566666203e-05,1.03318742450398e-10,0
robustness,h2_1.14,Southern,tun29,HS+20,1268.95222655598,4.72328226670432,2.61724875906229,1100.75837255902,3.56854659156934,2.53733771496864,1473.4244807515,5.85475556805571,2.71698119921564
robustness,h2_1.14,Southern,tun32,PR+20,1260.36912327814,5.90597460024364,2.88193650352321,1024.74431693485,3.29892214106349,2.80100307676506,1420.24936209507,9.70388271587802,2.9881316113607
robustness,h2_1.14,Southern,tun43,HS-20,1291.26325132937,4.6487583030021,2.48742862986929,1116.6196631605,3.42838445594316,2.40416233466652,1509.27013938353,5.79077136158341,2.59532622603793
robustness,h2_1.14,Southern,tun44,PR-20,1269.5553080375,5.77595564834722,2.85638005324931,1026.1987500318,3.23575692595076,2.76956943596636,1437.4903341698,9.46735289399848,2.96782120506937
robustness,h2_1.14,Southern,tun45,HSsym,1276.08617782666,4.69746740213459,2.57598646238169,1105.31132076274,3.4762762038662,2.49396308397328,1484.20955815057,5.79407437623991,2.67783395039613
robustness,h2_1.14,Southern,tun46,PRsym,1265.52066153802,5.75286793650126,2.87203378191145,1022.11299176807,3.25266925296169,2.78841849159916,1426.40804432098,9.07112026043697,2.98151309143541
robustness,h2_1.14,Southern,tun47,HS-30,1284.46916596919,4.7107899932616,2.53210659670507,1111.42290271773,3.4459177060756,2.45047104955049,1494.46608131641,5.84630410241938,2.63539802331015
robustness,h2_1.14,Southern,tun48,PR-30,1274.1458223713,5.68752184091837,2.83452736040488,1033.02881311961,3.23855032739359,2.75129323789449,1441.35754188109,10.0765686145236,2.94516702283089
