year,iter,data,scenario,biol,code,metric
2044,348,1969.28272286873,om11_2,CJM,tun29,SB
2045,348,2352.09302216328,om11_2,CJM,tun29,SB
2046,348,2778.12779732708,om11_2,CJM,tun29,SB
2047,348,3235.69033127012,om11_2,CJM,tun29,SB
2048,348,3714.2130289702,om11_2,CJM,tun29,SB
2049,348,4410.82133433363,om11_2,CJM,tun29,SB
2050,348,5467.21426173142,om11_2,CJM,tun29,SB
2025,367,7127.3628316359,om11_2,CJM,tun29,SB
2026,367,7412.38953840979,om11_2,CJM,tun29,SB
2027,367,7470.42559963403,om11_2,CJM,tun29,SB
2028,367,7642.52848995606,om11_2,CJM,tun29,SB
2029,367,8427.05661440091,om11_2,CJM,tun29,SB
2030,367,9186.63042891528,om11_2,CJM,tun29,SB
2031,367,9684.33790047142,om11_2,CJM,tun29,SB
2032,367,10968.2646621697,om11_2,CJM,tun29,SB
2033,367,14082.10532246,om11_2,CJM,tun29,SB
2034,367,15417.810952017,om11_2,CJM,tun29,SB
2035,367,13806.0329325625,om11_2,CJM,tun29,SB
2036,367,12853.0188304801,om11_2,CJM,tun29,SB
2037,367,12257.8493632988,om11_2,CJM,tun29,SB
2038,367,10915.3922472601,om11_2,CJM,tun29,SB
2039,367,9743.68986100256,om11_2,CJM,tun29,SB
2040,367,9528.70882323908,om11_2,CJM,tun29,SB
2041,367,9387.485024666,om11_2,CJM,tun29,SB
2042,367,8201.79977705909,om11_2,CJM,tun29,SB
2043,367,6739.51815437375,om11_2,CJM,tun29,SB
2044,367,5828.47552987241,om11_2,CJM,tun29,SB
2045,367,4857.62094129069,om11_2,CJM,tun29,SB
2046,367,3647.29615368277,om11_2,CJM,tun29,SB
2047,367,2432.73945110457,om11_2,CJM,tun29,SB
2048,367,1515.68019685185,om11_2,CJM,tun29,SB
2049,367,942.692198458171,om11_2,CJM,tun29,SB
2050,367,488.474907391476,om11_2,CJM,tun29,SB
2025,397,7216.38347223923,om11_2,CJM,tun29,SB
2026,397,6928.43695273113,om11_2,CJM,tun29,SB
2027,397,6132.43625708959,om11_2,CJM,tun29,SB
2028,397,5400.15012872416,om11_2,CJM,tun29,SB
2029,397,4613.0082642576,om11_2,CJM,tun29,SB
2030,397,3650.89903801024,om11_2,CJM,tun29,SB
2031,397,2858.66285364989,om11_2,CJM,tun29,SB
2032,397,2843.71157075901,om11_2,CJM,tun29,SB
2033,397,2946.91166896857,om11_2,CJM,tun29,SB
2034,397,2656.33281769087,om11_2,CJM,tun29,SB
2035,397,1907.58674911421,om11_2,CJM,tun29,SB
2036,397,1664.79917381905,om11_2,CJM,tun29,SB
2037,397,1870.77818052588,om11_2,CJM,tun29,SB
2038,397,2485.61461167492,om11_2,CJM,tun29,SB
2039,397,3357.32121692159,om11_2,CJM,tun29,SB
2040,397,3990.51576605489,om11_2,CJM,tun29,SB
2041,397,5218.25434248233,om11_2,CJM,tun29,SB
2042,397,6614.97605520368,om11_2,CJM,tun29,SB
2043,397,7196.25856187038,om11_2,CJM,tun29,SB
2044,397,6949.80909847065,om11_2,CJM,tun29,SB
2045,397,6355.43517783035,om11_2,CJM,tun29,SB
2046,397,5719.22292184912,om11_2,CJM,tun29,SB
2047,397,5144.61518377402,om11_2,CJM,tun29,SB
2048,397,4531.8208481294,om11_2,CJM,tun29,SB
2049,397,4316.90925854367,om11_2,CJM,tun29,SB
2050,397,4331.4949843331,om11_2,CJM,tun29,SB
2025,498,6629.64153376063,om11_2,CJM,tun29,SB
2026,498,6383.38165780603,om11_2,CJM,tun29,SB
2027,498,6124.57620968232,om11_2,CJM,tun29,SB
2028,498,6148.09599583955,om11_2,CJM,tun29,SB
2029,498,6629.37128560477,om11_2,CJM,tun29,SB
2030,498,7249.52246162731,om11_2,CJM,tun29,SB
2031,498,7663.99244495727,om11_2,CJM,tun29,SB
2032,498,8318.26015352547,om11_2,CJM,tun29,SB
2033,498,9773.79563637069,om11_2,CJM,tun29,SB
2034,498,10532.8752792495,om11_2,CJM,tun29,SB
2035,498,9361.29399947907,om11_2,CJM,tun29,SB
2036,498,8607.78450836532,om11_2,CJM,tun29,SB
2037,498,8110.23615237847,om11_2,CJM,tun29,SB
2038,498,7764.68904996107,om11_2,CJM,tun29,SB
2039,498,6953.73852000666,om11_2,CJM,tun29,SB
2040,498,6157.70951809015,om11_2,CJM,tun29,SB
2041,498,5724.45182427984,om11_2,CJM,tun29,SB
2042,498,5764.3068803634,om11_2,CJM,tun29,SB
2043,498,6563.14888689295,om11_2,CJM,tun29,SB
2044,498,8480.56893777943,om11_2,CJM,tun29,SB
2045,498,10578.1024331604,om11_2,CJM,tun29,SB
2046,498,12996.4212192562,om11_2,CJM,tun29,SB
