"variable","is_parameter","mean","median","sd","q2.5","q25","q75","q97.5","mcse_mean","rhat","ess_bulk","ess_tail","nonfinite_draws","stuck_chains","rhat_above_1_01","bulk_ess_below_400","tail_ess_below_400","diagnostics_nonfinite","passes_parameter_checks","diagnostic_status"
"log_selcoffs_fsh[4][81]",TRUE,0.563450040029237,0.592118795842318,0.409211154615806,-0.278854694573212,0.288112018947859,0.856575994649612,1.28703006969783,0.0283767902631723,1.00653799366842,205.998179500409,855.554304509568,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,"bulk ESS < 400"
"log_selcoffs_fsh[4][82]",TRUE,-1.15595899892613,-1.10671235887354,0.915817501330648,-3.05508957727903,-1.72838418355371,-0.532033108625211,0.481576491315308,0.0681853820534703,1.00827044735841,189.076693411095,364.071307815268,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][83]",TRUE,-0.897836224188089,-0.825106695374725,0.692025030668101,-2.40930423608456,-1.32143047095317,-0.399725970178804,0.290819969873876,0.0603733676443376,1.00944782666489,140.613529529607,175.877556762502,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][84]",TRUE,-0.660241033754532,-0.618501697513006,0.59470471068299,-1.96870674916629,-1.03195466821453,-0.239341636459014,0.368613800742011,0.0510507555638268,1.00801473367859,145.563762678744,213.549332738534,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][85]",TRUE,-0.493216280205413,-0.454459377309378,0.526709430422432,-1.63319802499506,-0.830008470986747,-0.129743420727128,0.461782395486063,0.038997608439979,1.00635591421136,193.714362807926,287.016416126501,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][86]",TRUE,-0.280480884242402,-0.265950578522888,0.459493644637126,-1.21786630583434,-0.584669374849155,0.0412574885003897,0.574069338693993,0.0247366811796751,1.00480832465928,352.581056297942,1073.43857035395,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,"bulk ESS < 400"
"log_selcoffs_fsh[4][87]",TRUE,0.00578355869165658,0.0228714442611139,0.41168061737926,-0.807837215202282,-0.27633836936635,0.303827085530356,0.785791144515931,0.0140445882923387,1.00122885788146,866.78142382269,2132.00365927637,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"log_selcoffs_fsh[4][88]",TRUE,0.26883977061117,0.279656718701629,0.386129738894787,-0.490488165568677,0.0135200667925105,0.533602005960299,1.0066635525971,0.017299150215818,1.00248037342234,493.910222372808,1448.92818714348,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"log_selcoffs_fsh[4][89]",TRUE,0.432753300799441,0.448822960402253,0.390107964079981,-0.395111894395694,0.175017285304808,0.713462097153875,1.11514805200691,0.0266218607838784,1.00615091700608,212.053788681553,976.986348679804,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,"bulk ESS < 400"
"log_selcoffs_fsh[4][90]",TRUE,0.507172848334569,0.527811741951354,0.424745409103475,-0.373845708865956,0.23342848901666,0.808725333298449,1.2737948282304,0.0311982389631466,1.00776199841788,186.261116831026,777.218387250376,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,"bulk ESS < 400"
"log_selcoffs_fsh[4][91]",TRUE,-0.992921176776375,-0.93355038167138,0.905374651655464,-2.92991419521382,-1.57308773225107,-0.361282157589409,0.579858760177635,0.0682966676839363,1.00965045942649,184.571604899895,304.799151050699,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][92]",TRUE,-0.745021055656027,-0.68204496009284,0.656790340919161,-2.15402939479848,-1.14865092301768,-0.286245562611397,0.368678074520457,0.0567845166692729,1.00953534395858,142.738147141952,175.968024852862,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][93]",TRUE,-0.496947818841813,-0.449931144258731,0.556090448878547,-1.71547976868188,-0.84431602100534,-0.0992316564303457,0.464516662935691,0.0471762908357786,1.00887157230199,148.911821378291,190.086517581433,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][94]",TRUE,-0.329436613882215,-0.301223422823359,0.500668422596798,-1.34932276675341,-0.64466032592764,0.0261530967099741,0.580595266110058,0.0357719120725026,1.00553844604403,204.172978817955,517.292061033816,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,"bulk ESS < 400"
