year,iter,data,scenario,biol,code,metric
2028,344,9294.88907255974,om11_2,CJM,tun43,SB
2029,344,8846.84228072551,om11_2,CJM,tun43,SB
2030,344,8285.87863897276,om11_2,CJM,tun43,SB
2031,344,7286.24162111321,om11_2,CJM,tun43,SB
2032,344,6259.08330704819,om11_2,CJM,tun43,SB
2033,344,5107.14415547896,om11_2,CJM,tun43,SB
2034,344,4452.23811035627,om11_2,CJM,tun43,SB
2035,344,3434.14196109879,om11_2,CJM,tun43,SB
2036,344,2911.41061733129,om11_2,CJM,tun43,SB
2037,344,2732.98081819306,om11_2,CJM,tun43,SB
2038,344,2412.36454017392,om11_2,CJM,tun43,SB
2039,344,2085.72519312388,om11_2,CJM,tun43,SB
2040,344,1808.86793236464,om11_2,CJM,tun43,SB
2041,344,1583.35211965203,om11_2,CJM,tun43,SB
2042,344,1640.03910759332,om11_2,CJM,tun43,SB
2043,344,1614.42784149311,om11_2,CJM,tun43,SB
2044,344,1396.72168875197,om11_2,CJM,tun43,SB
2045,344,1172.06498921439,om11_2,CJM,tun43,SB
2046,344,1047.90238108078,om11_2,CJM,tun43,SB
2047,344,962.575506106588,om11_2,CJM,tun43,SB
2048,344,996.741456887582,om11_2,CJM,tun43,SB
2049,344,1100.20337719582,om11_2,CJM,tun43,SB
2050,344,1330.90415958901,om11_2,CJM,tun43,SB
2025,348,6263.92727977176,om11_2,CJM,tun43,SB
2026,348,6525.31324345026,om11_2,CJM,tun43,SB
2027,348,6103.99696330714,om11_2,CJM,tun43,SB
2028,348,5802.61238623602,om11_2,CJM,tun43,SB
2029,348,5366.25025674439,om11_2,CJM,tun43,SB
2030,348,4737.34293392182,om11_2,CJM,tun43,SB
2031,348,4361.98916993606,om11_2,CJM,tun43,SB
2032,348,4490.64868841102,om11_2,CJM,tun43,SB
2033,348,4530.88028892516,om11_2,CJM,tun43,SB
2034,348,4444.24448188675,om11_2,CJM,tun43,SB
2035,348,3754.25644402104,om11_2,CJM,tun43,SB
2036,348,3291.30251146992,om11_2,CJM,tun43,SB
2037,348,2803.08061738026,om11_2,CJM,tun43,SB
2038,348,2309.57317277731,om11_2,CJM,tun43,SB
2039,348,1783.43924949633,om11_2,CJM,tun43,SB
2040,348,1470.43365214859,om11_2,CJM,tun43,SB
2041,348,1241.29337845696,om11_2,CJM,tun43,SB
2042,348,1134.17910782843,om11_2,CJM,tun43,SB
2043,348,1315.28059354959,om11_2,CJM,tun43,SB
2044,348,1661.27504829372,om11_2,CJM,tun43,SB
2045,348,2018.82394444451,om11_2,CJM,tun43,SB
2046,348,2407.28901220535,om11_2,CJM,tun43,SB
2047,348,2843.86377070724,om11_2,CJM,tun43,SB
2048,348,3328.09586394258,om11_2,CJM,tun43,SB
2049,348,4063.78764839641,om11_2,CJM,tun43,SB
2050,348,5209.37306946037,om11_2,CJM,tun43,SB
2025,367,7127.3628316359,om11_2,CJM,tun43,SB
2026,367,7352.26984154731,om11_2,CJM,tun43,SB
2027,367,7327.14436491712,om11_2,CJM,tun43,SB
2028,367,7417.57736470602,om11_2,CJM,tun43,SB
2029,367,8151.33941709979,om11_2,CJM,tun43,SB
2030,367,8917.58665361844,om11_2,CJM,tun43,SB
2031,367,9413.39571584717,om11_2,CJM,tun43,SB
2032,367,10663.9762945127,om11_2,CJM,tun43,SB
2033,367,13690.2799331509,om11_2,CJM,tun43,SB
2034,367,14946.8365713339,om11_2,CJM,tun43,SB
2035,367,13272.4410299213,om11_2,CJM,tun43,SB
2036,367,12323.0975950293,om11_2,CJM,tun43,SB
2037,367,11738.6965714418,om11_2,CJM,tun43,SB
2038,367,10416.1041945338,om11_2,CJM,tun43,SB
2039,367,9272.09072147365,om11_2,CJM,tun43,SB
2040,367,9067.78771171884,om11_2,CJM,tun43,SB
2041,367,8937.34298338331,om11_2,CJM,tun43,SB
2042,367,7787.47366702336,om11_2,CJM,tun43,SB
2043,367,6357.99251689595,om11_2,CJM,tun43,SB
2044,367,5449.65231180415,om11_2,CJM,tun43,SB
2045,367,4472.72054487686,om11_2,CJM,tun43,SB
2046,367,3270.88396534298,om11_2,CJM,tun43,SB
2047,367,2078.53341645299,om11_2,CJM,tun43,SB
2048,367,1188.97829751744,om11_2,CJM,tun43,SB
2049,367,642.20253114966,om11_2,CJM,tun43,SB
2050,367,213.543934365683,om11_2,CJM,tun43,SB
2025,397,7216.38347223923,om11_2,CJM,tun43,SB
2026,397,6866.75238493043,om11_2,CJM,tun43,SB
2027,397,5990.92431990763,om11_2,CJM,tun43,SB
2028,397,5199.53093208285,om11_2,CJM,tun43,SB
2029,397,4374.84189324769,om11_2,CJM,tun43,SB
2030,397,3433.58712204593,om11_2,CJM,tun43,SB
2031,397,2594.36972254381,om11_2,CJM,tun43,SB
2032,397,2577.20860124176,om11_2,CJM,tun43,SB
2033,397,2716.5980731999,om11_2,CJM,tun43,SB
2034,397,2501.13505909892,om11_2,CJM,tun43,SB
2035,397,1846.50568146797,om11_2,CJM,tun43,SB
2036,397,1616.89442493642,om11_2,CJM,tun43,SB
2037,397,1846.78232500003,om11_2,CJM,tun43,SB
2038,397,2478.43601907969,om11_2,CJM,tun43,SB
2039,397,3364.54016394112,om11_2,CJM,tun43,SB
2040,397,4037.81669019797,om11_2,CJM,tun43,SB
2041,397,5298.3528256549,om11_2,CJM,tun43,SB
2042,397,6762.37166536155,om11_2,CJM,tun43,SB
2043,397,7440.29471554366,om11_2,CJM,tun43,SB
2044,397,7332.94941311091,om11_2,CJM,tun43,SB
2045,397,6855.01025120508,om11_2,CJM,tun43,SB
2046,397,6337.69923586254,om11_2,CJM,tun43,SB
2047,397,5657.28447057267,om11_2,CJM,tun43,SB
2048,397,4846.0770760304,om11_2,CJM,tun43,SB
2049,397,4431.18111088809,om11_2,CJM,tun43,SB
2050,397,4259.76503557307,om11_2,CJM,tun43,SB
2025,498,6629.64153376063,om11_2,CJM,tun43,SB
2026,498,6321.78038172415,om11_2,CJM,tun43,SB
2027,498,5985.57550973873,om11_2,CJM,tun43,SB
2028,498,5943.12359615496,om11_2,CJM,tun43,SB
2029,498,6358.70354394126,om11_2,CJM,tun43,SB
2030,498,6918.95324584321,om11_2,CJM,tun43,SB
2031,498,7296.65711674239,om11_2,CJM,tun43,SB
2032,498,7933.27954903683,om11_2,CJM,tun43,SB
2033,498,9395.68590206832,om11_2,CJM,tun43,SB
2034,498,10190.7625667792,om11_2,CJM,tun43,SB
2035,498,9138.93018084043,om11_2,CJM,tun43,SB
2036,498,8390.87102264575,om11_2,CJM,tun43,SB
2037,498,7928.11834674057,om11_2,CJM,tun43,SB
2038,498,7582.3630083796,om11_2,CJM,tun43,SB
2039,498,6776.21575452119,om11_2,CJM,tun43,SB
2040,498,5903.11382451175,om11_2,CJM,tun43,SB
2041,498,5408.74503079259,om11_2,CJM,tun43,SB
2042,498,5378.82390389988,om11_2,CJM,tun43,SB
2043,498,6100.10227584898,om11_2,CJM,tun43,SB
