year,iter,data,metric
2044,344,20594.1743013779,SSB (thousand t)
2045,344,20855.7947211162,SSB (thousand t)
2046,344,20817.7419308448,SSB (thousand t)
2047,344,22221.3242646844,SSB (thousand t)
2048,344,24219.0629361447,SSB (thousand t)
2049,344,24893.9162856651,SSB (thousand t)
2050,344,25815.654808212,SSB (thousand t)
2025,348,6263.92727977176,SSB (thousand t)
2026,348,6338.14610105824,SSB (thousand t)
2027,348,6251.66651116287,SSB (thousand t)
2028,348,7055.85164991957,SSB (thousand t)
2029,348,9105.30539316578,SSB (thousand t)
2030,348,10635.3530602509,SSB (thousand t)
2031,348,10971.0546579741,SSB (thousand t)
2032,348,11243.6629734592,SSB (thousand t)
2033,348,11250.9309988674,SSB (thousand t)
2034,348,11351.2454580648,SSB (thousand t)
2035,348,11626.6203518936,SSB (thousand t)
2036,348,12094.0930219011,SSB (thousand t)
2037,348,12064.1724571345,SSB (thousand t)
2038,348,12679.0411386722,SSB (thousand t)
2039,348,14069.4598918843,SSB (thousand t)
2040,348,14993.5590216324,SSB (thousand t)
2041,348,15113.7411963456,SSB (thousand t)
2042,348,14891.5093911088,SSB (thousand t)
2043,348,14410.2313394622,SSB (thousand t)
2044,348,13407.3695844822,SSB (thousand t)
2045,348,11877.0311681271,SSB (thousand t)
2046,348,10543.8473737113,SSB (thousand t)
2047,348,9475.40478118745,SSB (thousand t)
2048,348,8426.08262746164,SSB (thousand t)
2049,348,7771.12181716596,SSB (thousand t)
2050,348,7528.51670613256,SSB (thousand t)
2025,367,7127.3628316359,SSB (thousand t)
2026,367,7083.80451057581,SSB (thousand t)
2027,367,6873.06005726993,SSB (thousand t)
2028,367,6826.62994280657,SSB (thousand t)
2029,367,6511.82992473107,SSB (thousand t)
2030,367,6061.76514153163,SSB (thousand t)
2031,367,5786.92986951179,SSB (thousand t)
2032,367,5717.21963628327,SSB (thousand t)
2033,367,5479.5482064424,SSB (thousand t)
2034,367,5068.7226945749,SSB (thousand t)
2035,367,4419.19424888275,SSB (thousand t)
2036,367,3655.49064998283,SSB (thousand t)
2037,367,2807.48199303089,SSB (thousand t)
2038,367,2048.67917703191,SSB (thousand t)
2039,367,1965.81475590715,SSB (thousand t)
2040,367,2233.66495492679,SSB (thousand t)
2041,367,2365.25362601816,SSB (thousand t)
2042,367,2367.53307599926,SSB (thousand t)
2043,367,2176.12479813389,SSB (thousand t)
2044,367,2034.34458249658,SSB (thousand t)
2045,367,2275.28179891718,SSB (thousand t)
2046,367,2684.20141198432,SSB (thousand t)
2047,367,2710.86638070086,SSB (thousand t)
2048,367,2440.35724215205,SSB (thousand t)
2049,367,2169.15413481459,SSB (thousand t)
2050,367,2328.06850684968,SSB (thousand t)
2025,397,7216.38347223923,SSB (thousand t)
2026,397,7062.32346217313,SSB (thousand t)
2027,397,6764.26177172501,SSB (thousand t)
2028,397,6685.79254489264,SSB (thousand t)
2029,397,6302.9538155018,SSB (thousand t)
2030,397,5661.78311123528,SSB (thousand t)
2031,397,4952.04919526366,SSB (thousand t)
2032,397,4699.01176293493,SSB (thousand t)
2033,397,4409.58929114034,SSB (thousand t)
2034,397,4282.90793706272,SSB (thousand t)
2035,397,3867.54770885884,SSB (thousand t)
2036,397,3484.74571255594,SSB (thousand t)
2037,397,3312.35588322091,SSB (thousand t)
2038,397,3089.14695597864,SSB (thousand t)
2039,397,2663.65357077896,SSB (thousand t)
2040,397,2076.43877033791,SSB (thousand t)
2041,397,2188.67080211228,SSB (thousand t)
2042,397,3084.7574081062,SSB (thousand t)
2043,397,5724.16579717355,SSB (thousand t)
2044,397,8544.52658085666,SSB (thousand t)
2045,397,10130.4250285939,SSB (thousand t)
2046,397,10876.1709669146,SSB (thousand t)
2047,397,11565.2138404195,SSB (thousand t)
2048,397,12521.9591806279,SSB (thousand t)
2049,397,13023.601216361,SSB (thousand t)
2050,397,13169.5955376998,SSB (thousand t)
2025,498,6629.64153376063,SSB (thousand t)
2026,498,6122.9736460218,SSB (thousand t)
2027,498,5776.29844223486,SSB (thousand t)
2028,498,6557.43454492928,SSB (thousand t)
2029,498,7801.34804562879,SSB (thousand t)
2030,498,8241.14856083201,SSB (thousand t)
2031,498,7876.81662456953,SSB (thousand t)
2032,498,7399.6671620872,SSB (thousand t)
2033,498,6728.52225534763,SSB (thousand t)
2034,498,6025.79975002525,SSB (thousand t)
2035,498,5262.20925648553,SSB (thousand t)
2036,498,5396.6699087353,SSB (thousand t)
2037,498,6289.67341959591,SSB (thousand t)
2038,498,7577.14590715233,SSB (thousand t)
2039,498,8322.15301826923,SSB (thousand t)
2040,498,8533.15700730984,SSB (thousand t)
2041,498,8707.07864870364,SSB (thousand t)
2042,498,9034.5497758993,SSB (thousand t)
2043,498,9383.09905290327,SSB (thousand t)
2044,498,9074.11931302883,SSB (thousand t)
2045,498,8836.77334198666,SSB (thousand t)
2046,498,8990.26845053403,SSB (thousand t)
2047,498,9795.83972273115,SSB (thousand t)
2048,498,10636.2237028183,SSB (thousand t)
2049,498,11058.3035436522,SSB (thousand t)
2050,498,11283.1441871143,SSB (thousand t)
