set,om,biol,code,statistic,median,q25,q75,CMP
robustness,h2_0.16_mov,North,tun48,SBMSY,0.681135427191582,0.650731177128477,0.716835365605131,PR-30
robustness,h2_0.16_mov,North,tun48,C,216.568268423796,194.127996647843,249.099061691899,PR-30
robustness,h2_0.16_mov,North,tun48,IACC,14.983947572529,12.5054655415587,17.4821196165701,PR-30
robustness,h2_0.16,Southern,tun29,SBMSY,1.10149922865349,1.00104914327564,1.21865666948054,HS+20
robustness,h2_0.16,Southern,tun29,C,1040.94971680626,896.480637402051,1204.57216905244,HS+20
robustness,h2_0.16,Southern,tun29,IACC,4.8746102985855,4.06796222020537,5.83590921964719,HS+20
robustness,h2_0.16,North,tun29,SBMSY,0.396212812259372,0.22565415548429,0.516732208083754,HS+20
robustness,h2_0.16,North,tun29,C,224.296816695535,190.225866427134,258.602006776373,HS+20
robustness,h2_0.16,North,tun29,IACC,11.6771259457673,9.72922774683788,14.2409459142206,HS+20
robustness,h2_0.16,Southern,tun43,SBMSY,1.01853748631003,0.923772766564579,1.13121559725492,HS-20
robustness,h2_0.16,Southern,tun43,C,1029.29291992736,887.096352739474,1195.25026961647,HS-20
robustness,h2_0.16,Southern,tun43,IACC,4.86750475966119,4.11484900423476,5.86968399175399,HS-20
robustness,h2_0.16,North,tun43,SBMSY,0.393694146801852,0.213348419700804,0.518196563514163,HS-20
robustness,h2_0.16,North,tun43,C,220.540622617028,186.499621096175,256.140404562617,HS-20
robustness,h2_0.16,North,tun43,IACC,11.5558605697056,9.68238470908778,14.2724285228017,HS-20
robustness,h2_0.16,Southern,tun45,SBMSY,1.07324685267789,0.976373952981622,1.18893490391357,HSsym
robustness,h2_0.16,Southern,tun45,C,1037.77439755519,892.284470781621,1203.50146921059,HSsym
robustness,h2_0.16,Southern,tun45,IACC,4.87486328550863,4.07898182748737,5.83743426129403,HSsym
robustness,h2_0.16,North,tun45,SBMSY,0.392849474297838,0.221462198289188,0.517357095117492,HSsym
robustness,h2_0.16,North,tun45,C,222.677861617346,189.271319048971,258.362763583581,HSsym
robustness,h2_0.16,North,tun45,IACC,11.6669099233713,9.72291293693761,14.246069761544,HSsym
robustness,h2_0.16,Southern,tun47,SBMSY,1.04539507657613,0.951089889277301,1.16037296037243,HS-30
robustness,h2_0.16,Southern,tun47,C,1034.27354180647,890.031409086736,1199.83616616009,HS-30
robustness,h2_0.16,Southern,tun47,IACC,4.90298886210743,4.10679688535576,5.8690111233187,HS-30
robustness,h2_0.16,North,tun47,SBMSY,0.393775691858402,0.216848342479527,0.518340518318457,HS-30
robustness,h2_0.16,North,tun47,C,221.712523282494,188.888534365905,256.735166691745,HS-30
robustness,h2_0.16,North,tun47,IACC,11.644533558533,9.74879240094558,14.1995172220115,HS-30
robustness,h2_0.16,Southern,tun32,SBMSY,1.31550732356999,1.23371842829282,1.398775298397,PR+20
robustness,h2_0.16,Southern,tun32,C,998.674813264253,831.35872435169,1224.39403858236,PR+20
robustness,h2_0.16,Southern,tun32,IACC,9.75372228883398,6.23459048752151,11.9934334763362,PR+20
robustness,h2_0.16,North,tun32,SBMSY,0.39935202166022,0.24931933214255,0.534057004824537,PR+20
robustness,h2_0.16,North,tun32,C,216.731070539688,179.281235330654,259.60451180696,PR+20
robustness,h2_0.16,North,tun32,IACC,14.4189423594505,11.7467352197459,16.8232397732134,PR+20
robustness,h2_0.16,Southern,tun44,SBMSY,1.31121024575334,1.22931921044992,1.39648032377482,PR-20
robustness,h2_0.16,Southern,tun44,C,1000.00239006079,828.350440892987,1236.46463877931,PR-20
robustness,h2_0.16,Southern,tun44,IACC,9.48983740551957,6.16426104726256,11.9207181135048,PR-20
robustness,h2_0.16,North,tun44,SBMSY,0.39190813756885,0.225281573333104,0.531675389510209,PR-20
robustness,h2_0.16,North,tun44,C,214.187993845283,174.256925060582,259.739581307275,PR-20
robustness,h2_0.16,North,tun44,IACC,14.322090886483,11.8619472798318,16.9612334086201,PR-20
robustness,h2_0.16,Southern,tun46,SBMSY,1.30964787500057,1.22362331239752,1.39759629290388,PRsym
robustness,h2_0.16,Southern,tun46,C,1005.42677959314,827.759751785329,1245.33795761494,PRsym
robustness,h2_0.16,Southern,tun46,IACC,9.2349988771029,5.88241623691466,11.2801007059663,PRsym
robustness,h2_0.16,North,tun46,SBMSY,0.394657634107142,0.234829285300322,0.52856728788207,PRsym
robustness,h2_0.16,North,tun46,C,216.349377961864,175.299706246772,262.366618810657,PRsym
robustness,h2_0.16,North,tun46,IACC,14.0212491804092,11.4561907435552,16.1511149932986,PRsym
robustness,h2_0.16,Southern,tun48,SBMSY,1.2994719626902,1.21499589929127,1.38160964731389,PR-30
robustness,h2_0.16,Southern,tun48,C,1006.9184070192,870.534700703279,1215.63625683887,PR-30
robustness,h2_0.16,Southern,tun48,IACC,10.3760496558158,6.73029826518081,12.5289840514316,PR-30
robustness,h2_0.16,North,tun48,SBMSY,0.394693472691142,0.229096220665229,0.533068682910739,PR-30
robustness,h2_0.16,North,tun48,C,219.541637042594,186.100488600327,253.407866664647,PR-30
robustness,h2_0.16,North,tun48,IACC,15.3560308169078,12.3624579477252,18.0297211493644,PR-30
robustness,h2_0.16h,Southern,tun29,SBMSY,1.44993103057733,1.32526963681509,1.63838138532701,HS+20
robustness,h2_0.16h,Southern,tun29,C,947.468969549607,843.25500051784,1051.82824000505,HS+20
robustness,h2_0.16h,Southern,tun29,IACC,4.98358870037176,4.04013121917307,5.86967841580823,HS+20
robustness,h2_0.16h,North,tun29,SBMSY,0.543598650165591,0.433154211698686,0.637139113038969,HS+20
robustness,h2_0.16h,North,tun29,C,217.095014704726,190.976896122968,241.786989024399,HS+20
robustness,h2_0.16h,North,tun29,IACC,11.0988775881696,9.2756793458013,12.9475566152943,HS+20
robustness,h2_0.16h,Southern,tun43,SBMSY,1.37146242022607,1.2542015538497,1.54987700512413,HS-20
robustness,h2_0.16h,Southern,tun43,C,956.793873521824,851.71058546388,1061.44322065407,HS-20
robustness,h2_0.16h,Southern,tun43,IACC,5.04819940843489,4.07576071136077,5.93075107090669,HS-20
robustness,h2_0.16h,North,tun43,SBMSY,0.532121315151046,0.427028440890803,0.633270494383854,HS-20
robustness,h2_0.16h,North,tun43,C,218.904464075658,192.052079853049,243.885591229057,HS-20
robustness,h2_0.16h,North,tun43,IACC,11.0611363960462,9.26934286653472,13.0370746829605,HS-20
robustness,h2_0.16h,Southern,tun45,SBMSY,1.42390691695008,1.30307334652956,1.60933089263632,HSsym
robustness,h2_0.16h,Southern,tun45,C,950.235859214284,845.213791058385,1054.56161226848,HSsym
robustness,h2_0.16h,Southern,tun45,IACC,4.9943350306516,4.03431831561054,5.8846522577581,HSsym
robustness,h2_0.16h,North,tun45,SBMSY,0.537632454244315,0.431553016963115,0.634829287962533,HSsym
robustness,h2_0.16h,North,tun45,C,217.598423415605,191.157570431099,242.589655543571,HSsym
robustness,h2_0.16h,North,tun45,IACC,11.0864732079091,9.27167103816273,13.0110362990458,HSsym
