mp,statistic,metric,raw_value,preferred_direction,include,weight,years,summary,om_code,om_label,component,n_iter
PR-30 (MP48),SSBbelow8dB0,SSB <8% dynamic B0 (%),0.0456,lower is better,TRUE,1,2041-2050,Proportion of valid 2041-2050 iteration-years with SSB strictly below 8% of dynamic unfished SSB (previous Blim),om11,Reference (om11),CJM,500
HS+20 (MP29),C,Catch,1492.88207436979,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
HS-20 (MP43),C,Catch,1429.42784096699,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
HSsym (MP45),C,Catch,1455.52104136795,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
HS-30 (MP47),C,Catch,1458.32591051179,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
PR+20 (MP32),C,Catch,1414.58748097687,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
PR-20 (MP44),C,Catch,1417.98426503494,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
PRsym (MP46),C,Catch,1459.31244685957,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
PR-30 (MP48),C,Catch,1306.61567806087,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
HS+20 (MP29),CatchDrop20,Advice reductions >19% (%),0,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11_2,Recruitment crash (om11_2),CJM,500
HS-20 (MP43),CatchDrop20,Advice reductions >19% (%),0.0814166666666667,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11_2,Recruitment crash (om11_2),CJM,500
HSsym (MP45),CatchDrop20,Advice reductions >19% (%),0,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11_2,Recruitment crash (om11_2),CJM,500
HS-30 (MP47),CatchDrop20,Advice reductions >19% (%),0.0585,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11_2,Recruitment crash (om11_2),CJM,500
